Number of rooms	total_area	housing_complex	living_area	kitchen_area	storey_number	whole_storey_number	Building_year	total_price	price_per_sq_meter
1	36.0		17.4	8.0	20	25	2008.0	5147000	142972
1	34.7	More	16.2	10.0	10	16		5150000	148415
2	47.3		31.4	8.3	1	9	1967.0	5150000	108879
1	35.0		14.7	8.5	20	23		5213030	148944
2	52.99		28.1	10.2	1	5		5226933	98640
1	41.79		14.6	14.7	2	14		5204110	124530
1	41.0	Оптимист	17.0	11.0	4	18	2011.0	5200000	126829
1	42.7	Юбилейный квартал	18.8	11.4	17	24	2009.0	5200000	121780
2	46.0		30.0	7.7	2	9		5200000	113043
2	50.4		30.5	6.9	9	9	1977.0	5249000	104147
2	48.3	Дальневосточный 15	24.4	9.7	5	24		5274360	109200
1	35.6		14.8	8.7	23	25	2011.0	5250000	147472
1	45.2		20.0	12.3	7	10	2008.0	5280000	116814
1	34.4		15.0	10.5	1	5	2006.0	34416165251000	152645
2	50.4		30.9	6.1	5	9	1969.0	5250000	104167
1	37.6		17.4	9.2	5	14	1992.0	31212575251000	139654
1	40.3		17.0	10.0	2	17	2008.0	5293000	131340
2	56.0	Шуваловский	29.3	9.1	9	25		5320950	95017
2	61.38	Балтийская волна	36.2	9.5	13	25		5340000	86999
1	36.5		12.7	14.2	7	13		34013795301000	145233
2	57.4		29.3	10.7	2	5	1917.0	5340000	93031
1	29.04	ЦДС Елизаровский	14.0	8.3	1	20		3848693	132531
1	37.1	Северная долина	14.5	12.3	24	24	2015.0	4100000	110512
1	33.3		17.9	7.5	8	9	1986.0	4120000	123724
1	41.16	ЦДС Кантемировский	17.9	9.9	1	25		4693320	114026
1	35.32	ЦДС Волковский	12.1	13.9	1	4		4866390	137780
1	40.82	ЦДС Кантемировский	15.8	15.8	1	23		4852412	118873
1	44.37	Неоклассика	18.1	10.1	3	4		4867801	109709
1	44.23	Неоклассика	17.4	10.1	4	4		4924800	111345
1	38.15	Питер	13.9	11.9	2	24		2600194997650	131000
1	48.85	Неоклассика	17.8	12.2	1	4		5128594	104987
1	48.85	Неоклассика	17.8	12.2	1	4		5146340	105350
2	50.2		30.1	9.3	9	9	1980.0	5100000	101594
1	43.0		18.6	12.6	2	17	2018.0	5178736	120436
2	44.83	ЦДС Елизаровский	21.9	12.1	1	20		5385988	120142
2	56.41		25.5	12.8	5	10		5433958	96330
1	55.1	Неоклассика	14.7	17.2	1	4		5501697	99849
2	56.3	Огни Залива	26.5	13.9	2	21		5800000	103020
2	52.9		30.4	8.0	4	16	1982.0	5800000	109641
1	64.02		24.2	23.5	1	5		5962896	93141
1	41.95	ЦДС Дюна	16.4	12.2	3	21		5924900	141237
2	44.45	ЦДС Волковский	14.5	17.9	3	4		6136005	138043
1	38.2	Квартал Галактика	14.6	10.5	9	10	2019.0	6100000	159686
2	58.74	Маршал	33.8	12.0	2	16		6535000	111253
2	65.0		42.7	9.0	5	5	1883.0	6500000	100000
2	55.91	Лондон Парк	28.6	11.2	5	22		6605000	118136
2	55.23	Граффити	28.3	8.9	15	24		6600000	119500
1	44.8		13.6	15.4	3	19		6603941	147409
1	43.57		18.1	10.8	13	18		6818921	156505
2	44.0		28.0	6.0	2	5	1960.0	33490874998000	113591
2	53.0	Шуваловский	27.8	10.3	1	25		5031200	94928
1	38.46		14.8	8.5	3	17		5015306	130403
2	46.6		29.3	5.4	3	5		33580865005000	107403
1	36.22		14.0	10.8	14	24		5061269	139737
1	43.23		11.9	17.0	1	14		5096004	117881
1	39.33		12.4	15.9	2	14		5072287	128967
1	40.44		12.8	11.0	2	14		5050522	124889
1	40.56		13.0	15.8	1	14		5050083	124509
1	40.8	Ренессанс	12.7	14.9	2	19		5119278	125473
2	43.6		28.7	7.2	9	11		5100000	116972
1	36.0		17.4	8.0	20	25	2008.0	5147000	142972
1	34.7	More	16.2	10.0	10	16		5150000	148415
2	47.3		31.4	8.3	1	9	1967.0	5150000	108879
1	35.0		14.7	8.5	20	23		5213030	148944
2	52.99		28.1	10.2	1	5		5226933	98640
1	41.79		14.6	14.7	2	14		5204110	124530
1	41.0	Оптимист	17.0	11.0	4	18	2011.0	5200000	126829
1	42.7	Юбилейный квартал	18.8	11.4	17	24	2009.0	5200000	121780
2	46.0		30.0	7.7	2	9		5200000	113043
2	50.4		30.5	6.9	9	9	1977.0	5249000	104147
2	48.3	Дальневосточный 15	24.4	9.7	5	24		5274360	109200
1	35.6		14.8	8.7	23	25	2011.0	5250000	147472
1	45.2		20.0	12.3	7	10	2008.0	5280000	116814
1	34.4		15.0	10.5	1	5	2006.0	34416165251000	152645
2	50.4		30.9	6.1	5	9	1969.0	5250000	104167
1	37.6		17.4	9.2	5	14	1992.0	31212575251000	139654
2	75.5		37.7	12.6	6	8	2016.0	17350000	229801
2	70.0	Монферран	6.0	6.0	4	6		39900000	570000
1	36.9	Цветной Город	15.7	9.3	1	22	2018.0	3136500	85000
1	38.82	Новая Охта	16.1	9.7	24	24	2019.0	3499450	90146
1	29.04	ЦДС Елизаровский	14.0	8.3	1	20		3848693	132531
1	37.1	Северная долина	14.5	12.3	24	24	2015.0	4100000	110512
1	33.3		17.9	7.5	8	9	1986.0	4120000	123724
1	41.16	ЦДС Кантемировский	17.9	9.9	1	25		4693320	114026
1	35.32	ЦДС Волковский	12.1	13.9	1	4		4866390	137780
1	40.82	ЦДС Кантемировский	15.8	15.8	1	23		4852412	118873
1	44.37	Неоклассика	18.1	10.1	3	4		4867801	109709
1	44.23	Неоклассика	17.4	10.1	4	4		4924800	111345
1	38.15	Питер	13.9	11.9	2	24		2600194997650	131000
1	48.85	Неоклассика	17.8	12.2	1	4		5128594	104987
1	48.85	Неоклассика	17.8	12.2	1	4		5146340	105350
2	50.2		30.1	9.3	9	9	1980.0	5100000	101594
1	43.0		18.6	12.6	2	17	2018.0	5178736	120436
2	44.83	ЦДС Елизаровский	21.9	12.1	1	20		5385988	120142
2	56.41		25.5	12.8	5	10		5433958	96330
1	55.1	Неоклассика	14.7	17.2	1	4		5501697	99849
